@relation 'adult-weka.filters.unsupervised.attribute.Remove-V-R5-6,8,11-13,15'

@attribute education-num numeric
@attribute marital-status {Married-civ-spouse,Divorced,Never-married,Separated,Widowed,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Wife,Own-child,Husband,Not-in-family,Other-relative,Unmarried}
@attribute capital-gain numeric
@attribute capital-loss numeric
@attribute hours-per-week numeric
@attribute class {>50K,<=50K}

@data
13,Never-married,Not-in-family,2174,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,13,<=50K
9,Divorced,Not-in-family,0,0,40,<=50K
7,Married-civ-spouse,Husband,0,0,40,<=50K
13,Married-civ-spouse,Wife,0,0,40,<=50K
14,Married-civ-spouse,Wife,0,0,40,<=50K
5,Married-spouse-absent,Not-in-family,0,0,16,<=50K
9,Married-civ-spouse,Husband,0,0,45,>50K
14,Never-married,Not-in-family,14084,0,50,>50K
13,Married-civ-spouse,Husband,5178,0,40,>50K
10,Married-civ-spouse,Husband,0,0,80,>50K
13,Married-civ-spouse,Husband,0,0,40,>50K
13,Never-married,Own-child,0,0,30,<=50K
12,Never-married,Not-in-family,0,0,50,<=50K
11,Married-civ-spouse,Husband,0,0,40,>50K
4,Married-civ-spouse,Husband,0,0,45,<=50K
9,Never-married,Own-child,0,0,35,<=50K
9,Never-married,Unmarried,0,0,40,<=50K
7,Married-civ-spouse,Husband,0,0,50,<=50K
14,Divorced,Unmarried,0,0,45,>50K
16,Married-civ-spouse,Husband,0,0,60,>50K
9,Separated,Unmarried,0,0,20,<=50K
5,Married-civ-spouse,Husband,0,0,40,<=50K
7,Married-civ-spouse,Husband,0,2042,40,<=50K
9,Divorced,Unmarried,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,40,>50K
9,Never-married,Own-child,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,60,>50K
9,Divorced,Not-in-family,0,0,80,<=50K
9,Married-civ-spouse,Husband,0,0,40,<=50K
12,Never-married,Not-in-family,0,0,52,<=50K
10,Never-married,Own-child,0,0,44,<=50K
13,Divorced,Own-child,0,1408,40,<=50K
10,Married-civ-spouse,Own-child,0,0,40,<=50K
10,Married-civ-spouse,Husband,0,0,15,<=50K
7,Never-married,Unmarried,0,0,40,<=50K
10,Never-married,Own-child,0,0,40,<=50K
9,Married-AF-spouse,Wife,0,0,25,<=50K
10,Married-civ-spouse,Husband,0,0,38,>50K
12,Married-civ-spouse,Husband,0,0,40,<=50K
5,Married-civ-spouse,Husband,0,0,43,<=50K
13,Married-civ-spouse,Husband,0,0,40,<=50K
13,Married-civ-spouse,Husband,0,0,50,<=50K
9,Separated,Unmarried,0,0,40,<=50K
